Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours)
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:08,106309.93921354895,1.4983376989844666,248.92635052131536,2372.2868133590346,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:09,105663.90778903339,1.5245183849796362,248.76586999516394,2369.5417483476936,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:10,105015.52884147248,1.5505698065921816,248.60500876860212,2366.8134459719713,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:11,104364.80624689665,1.5764908968557796,248.44376779714366,2364.101966984662,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:12,103711.74407069174,1.6022805868964458,248.2821480636074,2361.40737203447,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:13,103056.34656856037,1.6279378060562437,248.12015057815591,2358.7297216596794,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:14,102398.61818944773,1.6534614819470768,247.9577763788143,2356.0690762891472,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:15,101738.56357604632,1.6788505405979346,247.79502653139699,2353.4254962338346,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:16,101076.18756602648,1.7041039065864203,247.63190212960268,2350.7990416800026,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:17,100411.495194036,1.729220503116699,247.46840429532665,2348.1897726881953,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:18,99744.4916922971,1.754199252183747,247.30453417859815,2345.597749183354,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:19,99075.18249270634,1.7790390746492086,247.14029295792346,2343.023030954388,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:20,98403.57322807657,1.8037388903805829,246.9756818403879,2340.4656776470565,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:21,97729.66973295789,1.8282976183780846,246.81070206168945,2337.925748758647,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:22,97053.47804492836,1.8527141769164917,246.6453548862559,2335.403303630899,281.4539389630555
STARLINK-31765,59604,0,unknown,2025-07-16T16:00:23,96375.00440605126,1.876987483648916,246.4796416074394,2332.8984014472303,281.4539389630555
